date,team1,team2,league_id,prob1,prob2,probTie,odd1,odd2,oddTie,bookmaker1,bookmaker2,bookmakerTie,outcome1,outcome2,outcomeTie,bankroll1,bankroll2,bankrollTie,profit1,profit2,profitTie,Unnamed: 22,Unnamed: 23,0,0.1,Unnamed: 26,1.1029,0.99971,0.09432977186519154,0.046837256025266914,0.0012366272217892256,Unnamed: 32,treshold =,0.15
30-01-2021,Utrecht,Zwolle,1849,0.6434492684140112,0.1476578925045052,0.2088928390814836,1.55,4.9,3.95,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Guingamp,Pau FC,1844,0.4402671688621194,0.2734419374903607,0.2862908936475199,1.82,3.65,2.82,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,AC Ajaccio,Grenoble,1844,0.3367538243756796,0.3590925304137082,0.3041536452106122,2.25,2.65,2.77,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Nancy,Paris FC,1844,0.3117309868405492,0.4072418727597731,0.2810271403996777,2.6,2.25,2.87,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Niort,Le Havre,1844,0.3237787806824885,0.3897969516359285,0.2864242676815831,2.67,2.4,2.6,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Rodez,Sochaux,1844,0.3076275113076568,0.4017702913673528,0.2906021973249903,2.67,2.32,2.67,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Amiens,Chateauroux,1844,0.4708591994992958,0.2468551820088185,0.2822856184918857,1.72,3.8,2.95,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Valenciennes,Dunkerque,1844,0.4167122253569804,0.2910095029524972,0.2922782716905225,1.95,3.15,2.85,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Tondela,SC Farense,1864,0.314496457887575,0.4085311688991489,0.2769723732132761,2.62,2.8,3.3,,,,,,,0.0,0.02382894143430042,0,,,,,,,,,,,,,,,,
30-01-2021,Chambly,Caen,1844,0.3151497308226469,0.4034202860300815,0.2814299831472717,2.55,2.47,2.62,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Sittard,Venlo,1849,0.4947577981373205,0.2565488986655894,0.24869330319709,1.95,3.2,3.65,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,St. Gallen,Zurich,1879,0.4102113520447231,0.3124594925183384,0.2773291554369385,1.88,3.0,3.2,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Mallorca,Girona,1871,0.4916804377984507,0.2124749141195562,0.2958446480819931,2.15,4.2,3.2,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Inter,Benevento,1854,0.8153433507992552,0.06099761499758721,0.1236590342031576,1.2,15.0,6.7,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Kortrijk,Charleroi,1832,0.3410813868689681,0.377990200381608,0.2809284127494239,2.47,2.6,3.25,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Marseille,Rennes,1843,0.3683553257569238,0.3295900195023496,0.3020546547407266,2.82,2.62,2.92,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Villarreal,Real Sociedad,1869,0.3613943840120895,0.3413084769883951,0.2972971389995154,2.45,3.1,3.15,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Southampton,Aston Villa,2411,0.3249633212896761,0.4119853819652462,0.2630512967450777,2.95,2.37,3.45,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Almeria,Castellon,1871,0.538256994612544,0.1961294724701791,0.265613532917277,1.72,5.2,3.05,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Vitesse,Waalwijk,1849,0.7503950342808878,0.0933648542134539,0.1562401115056582,1.34,7.1,4.65,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Portimonense,Boavista,1864,0.355143743319021,0.3575247685719297,0.2873314881090493,2.37,3.4,3.15,,,,,,,0.0,0.03881414449558218,0,,,,,,,,,,,,,,,,
